Seed,Spawn_Strategy,Initial_Drones_XY,Goal_X,Goal_Y,Optimal_Tick,Used_Tick,Map_Coverage_%,Spawn_Fail_Count,Backtrack_Count,Total_Spawned,Success
672086,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",12,29,35,52,73.93,202,204,32,True
328154,1,"[(15, 15)]",26,17,189,190,46.48,0,0,53,True
328154,2,"[(7, 15), (23, 15)]",26,17,9,10,4.2,0,0,5,True
328154,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",26,17,171,172,90.62,0,0,188,True
328154,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",26,17,31,32,54.3,8,6,100,True
328154,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",26,17,7,8,23.34,9,2,48,True
328154,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",26,17,19,24,54.0,118,76,32,True
773443,1,"[(15, 15)]",5,20,165,166,55.57,0,0,52,True
773443,2,"[(7, 15), (23, 15)]",5,20,41,42,32.13,0,0,34,True
773443,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",5,20,5,6,4.98,0,0,14,True
773443,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",5,20,11,12,23.63,0,0,42,True
773443,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",5,20,29,30,65.33,70,80,52,True
773443,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",5,20,7,18,46.19,81,55,32,True
217133,1,"[(15, 15)]",28,15,125,126,46.58,0,0,47,True
217133,2,"[(7, 15), (23, 15)]",28,15,161,162,62.99,0,0,103,True
217133,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",28,15,103,104,79.39,0,0,122,True
217133,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",28,15,33,34,54.2,0,0,85,True
217133,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",28,15,9,10,29.1,26,6,42,True
217133,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",28,15,9,10,28.52,65,22,32,True
306409,1,"[(15, 15)]",18,6,30,31,8.59,0,0,9,True
306409,2,"[(7, 15), (23, 15)]",18,6,78,79,38.96,0,0,41,True
306409,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",18,6,102,103,83.59,0,0,157,True
306409,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",18,6,2,3,4.3,0,0,19,True
306409,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",18,6,8,9,27.05,19,9,44,True
306409,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",18,6,14,15,38.87,83,54,32,True
542412,1,"[(15, 15)]",10,29,227,228,74.9,0,0,76,True
542412,2,"[(7, 15), (23, 15)]",10,29,71,72,48.44,0,0,55,True
542412,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",10,29,81,82,81.05,0,0,96,True
542412,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",10,29,17,18,35.06,0,0,47,True
542412,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",10,29,3,4,12.89,18,3,33,True
542412,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",10,29,15,22,47.95,99,110,32,True
977401,1,"[(15, 15)]",20,26,108,109,29.88,0,0,32,True
977401,2,"[(7, 15), (23, 15)]",20,26,148,149,60.25,0,0,81,True
977401,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",20,26,56,57,60.84,0,0,76,True
977401,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",20,26,8,9,16.6,0,0,38,True
977401,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",20,26,36,39,75.2,91,119,55,True
977401,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",20,26,26,27,54.39,116,109,32,True
910720,1,"[(15, 15)]",14,15,1,2,0.29,0,0,2,True
910720,2,"[(7, 15), (23, 15)]",14,15,29,30,14.16,0,0,16,True
910720,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",14,15,61,62,71.0,0,0,94,True
910720,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",14,15,63,64,99.51,2,3,171,True
910720,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",14,15,13,14,38.87,28,20,41,True
910720,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",14,15,15,56,83.4,203,243,32,True
285664,1,"[(15, 15)]",27,18,337,338,91.31,0,0,88,True
285664,2,"[(7, 15), (23, 15)]",27,18,47,48,27.93,0,0,35,True
285664,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",27,18,9,10,9.96,0,0,16,True
285664,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",27,18,27,28,51.76,0,0,66,True
285664,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",27,18,1,2,6.05,1,0,32,True
285664,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",27,18,3,4,14.36,45,7,32,True
351550,1,"[(15, 15)]",0,1,145,146,48.83,0,0,47,True
351550,2,"[(7, 15), (23, 15)]",0,1,55,56,27.83,0,0,31,True
351550,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",0,1,135,136,99.71,0,0,202,True
351550,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",0,1,183,190,99.71,150,778,351,True
